frame,t,state,red_score,amber_score,green_score,before_v2_rule
978,32.633,red_amber,142.3,63.9,1.0,red
981,32.733,red_amber,143.2,63.2,0.3,red
984,32.833,red_amber,143.2,63.4,1.2,red
987,32.933,red_amber,143.5,61.9,0.2,red
990,33.033,red_amber,143.8,62.7,-0.5,red
993,33.133,red_amber,143.7,62.5,-0.3,red
996,33.233,red_amber,141.9,60.7,1.0,red
999,33.333,red_amber,142.9,61.5,1.7,red
1002,33.433,red_amber,143.2,62.2,1.3,red
1005,33.534,red_amber,143.2,62.0,0.4,red
1008,33.634,red_amber,142.8,61.8,1.0,red
1011,33.734,red_amber,144.3,62.0,-0.1,red
1014,33.834,red_amber,143.5,61.5,0.1,red
1017,33.934,red_amber,142.2,62.0,0.8,red
1020,34.034,red_amber,143.3,61.7,0.6,red
1023,34.134,red_amber,143.6,62.1,1.0,red
1026,34.234,red_amber,143.1,61.9,-0.2,red
1029,34.334,red_amber,144.5,62.4,1.2,red
1032,34.434,red_amber,142.9,61.3,1.0,red
1035,34.534,green,-1.0,-4.3,137.9,none
1038,34.635,green,-6.1,-4.9,138.2,none
1041,34.735,green,-6.2,-6.0,138.7,green
1044,34.835,green,-6.1,-4.7,138.0,green
1047,34.935,green,-4.8,-5.3,139.2,green
1050,35.035,green,-4.8,-5.9,137.7,green
1053,35.135,green,-4.6,-5.5,137.6,green
1056,35.235,green,-5.1,-6.7,138.4,green
1059,35.335,green,-5.8,-5.1,138.0,green
1062,35.435,green,-5.1,-5.8,137.9,green
1065,35.536,green,-5.3,-6.3,138.0,green
1068,35.636,green,-5.4,-6.1,137.8,green
1071,35.736,green,-4.1,-5.2,138.2,green
1074,35.836,green,-5.7,-6.7,137.9,green
1077,35.936,green,-5.6,-6.6,137.9,green
1080,36.036,green,-6.5,-6.0,138.9,green
1083,36.136,green,-5.4,-6.6,138.7,green
1086,36.236,green,-5.1,-6.3,137.8,green
1089,36.336,green,-5.4,-5.1,138.8,green
1092,36.436,green,-4.0,-6.8,139.2,green
1095,36.537,green,-3.6,-6.0,139.9,green
1098,36.637,green,-4.5,-6.0,139.2,green
1101,36.737,green,-3.5,-5.1,139.3,green
1104,36.837,green,-4.4,-5.5,139.0,green
1107,36.937,green,-5.3,-6.0,139.1,green
1110,37.037,green,-6.2,-6.1,139.4,green
1113,37.137,green,-5.6,-4.5,138.9,green
1116,37.237,green,-5.5,-6.2,139.1,green
1119,37.337,green,-4.8,-5.7,139.9,green
1122,37.437,green,-4.2,-5.8,138.9,green
1125,37.538,green,-5.1,-5.7,139.7,green
1128,37.638,green,-5.0,-5.7,140.4,green
1131,37.738,green,-5.0,-5.0,139.3,green
1134,37.838,green,-4.4,-5.1,138.8,green
1137,37.938,green,-4.6,-5.2,140.4,green
1140,38.038,green,-4.9,-5.2,140.1,green
1143,38.138,green,-5.1,-6.7,138.7,green
1146,38.238,green,-4.9,-5.0,138.8,green
1149,38.338,green,-5.8,-5.5,139.2,red
1152,38.438,green,-5.1,-6.1,139.7,green
1155,38.538,green,-5.5,-5.2,139.4,green
1158,38.639,green,-5.0,-4.9,139.1,green
1161,38.739,green,-4.6,-5.1,139.4,green
1164,38.839,green,-5.0,-4.9,139.4,green
1167,38.939,green,-5.3,-5.7,139.1,green
1170,39.039,green,-4.4,-4.5,139.7,green
1173,39.139,green,-5.0,-6.0,139.8,green
1176,39.239,green,-5.9,-6.2,138.2,green
1179,39.339,green,-2.8,-4.6,138.9,green
1182,39.439,green,-4.4,-5.2,139.7,green
1185,39.54,green,-5.2,-5.4,139.1,green
1188,39.64,green,-4.9,-5.2,138.1,green
1191,39.74,green,-5.8,-6.1,138.8,green
1194,39.84,green,-5.7,-6.0,139.0,green
